"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
5937, 8.855005354222830e-01, 1.412680907604201e-01, 1.143199715699054e+02, 6.578273571241177e+03, -1.879282703127923e+03, 6.558050532034418e+07, 7.348658093993057e+05, 6.405435324260426e+02, 1.225582243094001e+00, -3.351090401693367e-01
5938, 8.936688012820208e-01, 1.495938029332916e-01, 1.143256599357166e+02, 6.577915438510501e+03, -1.879451147626824e+03, 6.558433538534419e+07, 7.348936568044814e+05, 6.405498251711479e+02, 1.225506613936421e+00, -3.349997763338916e-01
5939, 8.754841509008287e-01, 1.437937399040502e-01, 1.143239277862322e+02, 6.578503796659548e+03, -1.878712088336684e+03, 6.558278012296817e+07, 7.348749946017559e+05, 6.405439943168292e+02, 1.225607699007813e+00, -3.350730005296392e-01
5940, 8.956805816343945e-01, 1.603747393471552e-01, 1.143373474397933e+02, 6.577741360581937e+03, -1.879271823595358e+03, 6.559137364671434e+07, 7.349293895542757e+05, 6.405544961992600e+02, 1.225484019885554e+00, -3.348595730629264e-01
5941, 8.657354637360264e-01, 1.464606616409274e-01, 1.143264313431193e+02, 6.578687540983392e+03, -1.878171387264837e+03, 6.558422499356510e+07, 7.348809599271340e+05, 6.405443455116931e+02, 1.225621095757117e+00, -3.350495946027179e-01
5942, 8.960516142532760e-01, 1.701412627565953e-01, 1.143502607141147e+02, 6.577871347971893e+03, -1.879135090517426e+03, 6.559879639394303e+07, 7.349594829510387e+05, 6.405560516174851e+02, 1.225544657482783e+00, -3.347414967132211e-01
5943, 8.560347347238275e-01, 1.491733409342941e-01, 1.143272413453432e+02, 6.578821894127195e+03, -1.877685942008236e+03, 6.558470495896008e+07, 7.348832235691926e+05, 6.405445874197562e+02, 1.225622106356097e+00, -3.350407128339557e-01
5944, 8.961177119968373e-01, 1.800207022953323e-01, 1.143639887091682e+02, 6.578233541285814e+03, -1.879086781921867e+03, 6.560648571181668e+07, 7.349860313415757e+05, 6.405556170262282e+02, 1.225668202644544e+00, -3.346373297735490e-01
5945, 8.463626317591859e-01, 1.518676414494640e-01, 1.143265566357573e+02, 6.578899208251697e+03, -1.877284333950784e+03, 6.558434011309323e+07, 7.348823962754199e+05, 6.405448005112848e+02, 1.225611083028480e+00, -3.350439588559845e-01
5946, 8.961493425741525e-01, 1.899893913103021e-01, 1.143769781194274e+02, 6.578719740852284e+03, -1.879114014701450e+03, 6.561366584322362e+07, 7.350085042731198e+05, 6.405541928645401e+02, 1.225821081003274e+00, -3.345491535618437e-01
